Country Name,Country Code,Year,Year Code,Consumption of iodized salt (% of households) [SN.ITK.SALT.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) [SH.STA.IYCF.ZS]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],Number of people who are undernourished [SN.ITK.DEFC],Prevalence of anemia among children (% of children ages 6-59 months) [SH.ANM.CHLD.ZS],Prevalence of anemia among non-pregnant women (% of women ages 15-49) [SH.ANM.NPRG.ZS],Prevalence of anemia among pregnant women (%) [SH.PRG.ANEM],Prevalence of anemia among women of reproductive age (% of women ages 15-49) [SH.ANM.ALLW.ZS],Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],"Prevalence of overweight, female (% of children under 5) [SH.STA.OWGH.FE.ZS]","Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of children under 5) [SH.STA.OWGH.MA.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]","Prevalence of severe wasting, weight for height (% of children under 5) [SH.SVR.WAST.ZS]","Prevalence of severe wasting, weight for height, female (% of children under 5) [SH.SVR.WAST.FE.ZS]","Prevalence of severe wasting, weight for height, male (% of children under 5) [SH.SVR.WAST.MA.ZS]","Prevalence of stunting, height for age (% of children under 5) [SH.STA.STNT.ZS]","Prevalence of stunting, height for age, female (% of children under 5) [SH.STA.STNT.FE.ZS]","Prevalence of stunting, height for age, male (% of children under 5) [SH.STA.STNT.MA.ZS]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Prevalence of underweight, weight for age, female (% of children under 5) [SH.STA.MALN.FE.ZS]","Prevalence of underweight, weight for age, male (% of children under 5) [SH.STA.MALN.MA.ZS]","Prevalence of wasting, weight for height (% of children under 5) [SH.STA.WAST.ZS]","Prevalence of wasting, weight for height, female (% of children under 5) [SH.STA.WAST.FE.ZS]","Prevalence of wasting, weight for height, male (% of children under 5) [SH.STA.WAST.MA.ZS]",Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS]
Albania,ALB,2019,YR2019,..,..,..,..,100000,30.9,24.8,24.5,24.8,..,..,..,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,..,..,..
Algeria,DZA,2017,YR2017,..,..,..,..,1100000,34,33,33.3,33,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,..,..
Algeria,DZA,2018,YR2018,..,..,..,..,..,34.1,33.1,33.2,33.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Algeria,DZA,2019,YR2019,..,..,..,..,..,34.3,33.3,33.1,33.3,..,12.8,12.1,..,13.4,..,1.3,1,1.5,9.8,7.9,11.6,2.5,2.7,2.4,2.9,2.7,2.4,3,..
American Samoa,ASM,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2017,YR2017,..,..,..,..,..,13.4,11.4,16.5,11.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2018,YR2018,..,..,..,..,..,13.7,11.7,16.6,11.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2019,YR2019,..,..,..,..,..,14.1,12,16.8,12.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,2017,YR2017,..,..,..,..,4600000,62.1,44.2,48.9,44.7,..,..,..,..,..,..,..,..,..,..,..,..,15.4,..,..,..,..,..,..,3
Angola,AGO,2018,YR2018,..,..,..,..,4800000,62.3,44.1,48.6,44.6,..,..,..,..,..,..,..,..,..,..,..,..,15.5,..,..,..,..,..,..,4
Angola,AGO,2019,YR2019,..,..,..,..,5500000,62.4,44,48.3,44.5,..,..,..,..,..,..,..,..,..,..,..,..,17.3,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2017,YR2017,..,..,..,..,..,17.4,16.8,19.3,16.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2018,YR2018,..,..,..,..,..,17.3,17,19.3,17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2019,YR2019,..,..,..,..,..,17.2,17.2,19.4,17.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,2017,YR2017,..,..,..,..,51500000,38.61875331,32.94143806,34.26464812,32.95928038,..,..,..,..,..,..,..,..,..,..,..,..,13.67132621,..,..,..,..,..,..,..
Arab World,ARB,2018,YR2018,..,..,..,..,51400000,38.580924,33.06084778,34.20774691,33.04785072,..,..,..,..,..,..,..,..,..,..,..,..,13.60792029,..,..,..,..,..,..,..
Arab World,ARB,2019,YR2019,..,..,..,..,53900000,38.67045319,33.21260938,34.16650447,33.21666747,..,..,..,..,..,..,..,..,..,..,..,..,14.00792571,..,..,..,..,..,..,..
Argentina,ARG,2017,YR2017,..,..,..,..,1400000,18.5,11.5,20.6,11.9,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..,..
Argentina,ARG,2018,YR2018,..,..,..,..,1500000,18.6,11.4,20.5,11.8,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,..,..,..,..,..,..
Argentina,ARG,2019,YR2019,..,..,..,..,1700000,19,11.6,20.6,11.9,..,13.6,14.1,..,13.1,..,..,..,..,7.9,7.1,8.7,3.9,1.7,0.8,2.5,1.6,1,2.1,..
Armenia,ARM,2017,YR2017,..,..,..,..,100000,19.1,17,18.4,17.1,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..,..
Armenia,ARM,2018,YR2018,..,..,..,..,100000,19.3,17.1,18.2,17.1,..,..,..,..,..,..,..,..,..,..,..,..,3.2,..,..,..,..,..,..,..
Armenia,ARM,2019,YR2019,..,..,..,..,100000,19.6,17.2,18.1,17.3,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..
Aruba,ABW,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2017,YR2017,..,..,..,..,..,12.4,7.7,15.3,7.9,..,22,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Australia,AUS,2018,YR2018,..,..,..,..,..,12.8,7.9,15.5,8.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Australia,AUS,2019,YR2019,..,..,..,..,..,13.3,8.2,15.7,8.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Austria,AUT,2017,YR2017,..,..,..,..,..,13.8,12.3,17.6,12.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Austria,AUT,2018,YR2018,..,..,..,..,..,14.2,12.6,17.7,12.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Austria,AUT,2019,YR2019,..,..,..,..,..,14.6,12.9,17.8,13,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Azerbaijan,AZE,2017,YR2017,..,..,..,..,..,25.2,34.7,35.1,34.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,41
Azerbaijan,AZE,2018,YR2018,..,..,..,..,..,24.9,34.8,35.1,34.8,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Azerbaijan,AZE,2019,YR2019,..,..,..,..,..,24.8,35.1,35,35.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Bahamas, The",BHS,2017,YR2017,..,..,..,..,..,17.5,13.6,16.3,13.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,2018,YR2018,..,..,..,..,..,17.7,14,16.6,14.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,2019,YR2019,..,..,..,..,..,17.9,14.4,16.8,14.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,2017,YR2017,..,..,..,..,..,22.9,35.6,33.9,35.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,2018,YR2018,..,..,..,..,..,23.1,35.6,33.7,35.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,2019,YR2019,..,..,..,..,..,23.4,35.5,33.5,35.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2017,YR2017,..,..,..,..,20000000,43.3,35.9,42.8,36.2,..,..,..,..,..,..,..,..,..,..,..,..,12.5,..,..,..,..,..,..,99
Bangladesh,BGD,2018,YR2018,..,..,35.4,..,17500000,43.1,36.2,42.5,36.4,..,2.2,1.8,..,2.6,..,1.5,1.3,1.6,30.9,30.9,30.8,10.8,21.9,22.1,21.7,8.4,7.6,9.2,0
Bangladesh,BGD,2019,YR2019,..,..,..,..,15900000,43.1,36.5,42.2,36.7,..,2.4,2.3,..,2.6,..,2.3,2,2.5,28,27.9,28,9.7,22.6,22.9,22.4,9.8,9.2,10.4,..
Barbados,BRB,2017,YR2017,..,..,..,..,100000,20.3,16.6,19.4,16.7,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..
Barbados,BRB,2018,YR2018,..,..,..,..,100000,20.1,16.7,19.4,16.8,..,..,..,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..,..
Barbados,BRB,2019,YR2019,..,..,..,..,100000,20,16.9,19.5,17,..,..,..,..,..,..,..,..,..,..,..,..,4.1,..,..,..,..,..,..,..
Belarus,BLR,2017,YR2017,..,..,..,..,..,17.3,19.9,23.8,20.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Belarus,BLR,2018,YR2018,..,..,..,..,..,17.5,20.2,23.9,20.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Belarus,BLR,2019,YR2019,..,..,..,..,..,17.8,20.4,23.9,20.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Belgium,BEL,2017,YR2017,..,..,..,..,..,16.8,12.7,15.7,12.8,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Belgium,BEL,2018,YR2018,..,..,..,..,..,17.1,13.1,15.9,13.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Belgium,BEL,2019,YR2019,..,..,..,..,..,17.4,13.5,16.2,13.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Belize,BLZ,2017,YR2017,..,..,..,..,100000,20.7,20.4,21.2,20.5,..,..,..,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..,..
Belize,BLZ,2018,YR2018,..,..,..,..,100000,20.4,20.4,21.2,20.5,..,..,..,..,..,..,..,..,..,..,..,..,6.2,..,..,..,..,..,..,..
Belize,BLZ,2019,YR2019,..,..,..,..,100000,20.2,20.5,21.2,20.5,..,..,..,..,..,..,..,..,..,..,..,..,5.9,..,..,..,..,..,..,..
Benin,BEN,2017,YR2017,..,..,..,..,800000,71.7,54.6,58.3,55,..,..,..,..,..,..,..,..,..,..,..,..,7.2,..,..,..,..,..,..,99
Benin,BEN,2018,YR2018,84.8,41.4,14.3,..,800000,71.4,54.7,58.2,55.1,..,1.9,1.9,..,1.8,..,1.1,0.8,1.3,32.2,29.1,35.1,7.3,16.8,15.8,17.8,5,4.3,5.6,0
Benin,BEN,2019,YR2019,..,..,..,..,900000,71,54.8,58.1,55.2,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..
Bermuda,BMU,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,2017,YR2017,..,..,..,..,..,45.7,38.6,39,38.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,2018,YR2018,..,..,..,..,..,45.2,38.6,38.6,38.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,2019,YR2019,..,..,..,..,..,44.7,38.7,38.2,38.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2017,YR2017,..,..,..,..,1400000,40.1,24.5,34.2,25.1,..,..,..,..,..,..,..,..,..,..,..,..,12.5,..,..,..,..,..,..,31
Bolivia,BOL,2018,YR2018,..,..,..,..,1400000,38.3,24,33.8,24.6,..,..,..,..,..,..,..,..,..,..,..,..,12.6,..,..,..,..,..,..,54
Bolivia,BOL,2019,YR2019,..,..,..,..,1500000,36.9,23.9,33.7,24.4,..,..,..,..,..,..,..,..,..,..,..,..,12.6,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2017,YR2017,..,..,..,..,..,23.6,23.8,27.2,23.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2018,YR2018,..,..,..,..,..,23.9,24,27.2,24.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2019,YR2019,..,..,..,..,..,24.3,24.3,27.2,24.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Botswana,BWA,2017,YR2017,..,30,..,..,600000,43.1,32.1,31.4,32.1,..,..,..,..,..,..,..,..,..,..,..,..,28.9,..,..,..,..,..,..,83
Botswana,BWA,2018,YR2018,..,..,..,..,700000,43.2,32.3,31.4,32.3,..,..,..,..,..,..,..,..,..,..,..,..,29.5,..,..,..,..,..,..,86
Botswana,BWA,2019,YR2019,..,..,..,..,700000,43.3,32.6,31.4,32.5,..,..,..,..,..,..,..,..,..,..,..,..,29.3,..,..,..,..,..,..,..
Brazil,BRA,2017,YR2017,..,..,..,..,..,12.5,16.2,19.3,16.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Brazil,BRA,2018,YR2018,..,..,..,..,..,11.9,16.1,19.2,16.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Brazil,BRA,2019,YR2019,..,..,..,..,..,11.6,16,19.1,16.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
British Virgin Islands,VGB,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,2017,YR2017,..,..,..,..,..,18.8,15.5,22.6,15.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Brunei Darussalam,BRN,2018,YR2018,..,..,..,..,..,19.3,15.9,22.6,16.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Brunei Darussalam,BRN,2019,YR2019,..,..,..,..,..,20,16.5,22.7,16.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Bulgaria,BGR,2017,YR2017,..,..,..,..,200000,23.7,23,25.7,23.1,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..,..
Bulgaria,BGR,2018,YR2018,..,..,..,..,200000,23.9,23.3,25.7,23.4,..,..,..,..,..,..,..,..,..,..,..,..,2.8,..,..,..,..,..,..,..
Bulgaria,BGR,2019,YR2019,..,..,..,..,200000,24.1,23.6,25.8,23.6,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..
Burkina Faso,BFA,2017,YR2017,..,47.8,..,..,2400000,80.1,52.4,55.9,52.8,..,1.7,1.3,..,2,..,1.9,1.7,2.1,21.1,19.4,22.7,12.4,16.2,14.4,17.8,8.6,7.5,9.7,0
Burkina Faso,BFA,2018,YR2018,..,..,..,..,2500000,78.4,52.3,55.6,52.6,..,1,1,..,1,..,1.7,1.2,2.1,24.9,22,27.7,12.7,17.7,15.7,19.6,8.4,7.3,9.4,99
Burkina Faso,BFA,2019,YR2019,..,..,..,..,2900000,76.6,52.2,55.3,52.5,..,1.6,1.7,..,1.5,..,1,0.8,1.3,23.8,21.3,26.1,14.4,16.4,14.5,18.3,8.1,7.1,9,..
Burundi,BDI,2017,YR2017,89.4,82.3,9.8,..,..,55.9,35.2,43,36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79
Burundi,BDI,2018,YR2018,..,..,..,..,..,56.9,36.5,43.6,37.2,..,1.8,1.6,..,1.9,..,0.8,0.7,1,56.6,53.1,60.2,..,29.6,27.8,31.5,4.8,4.3,5.3,89
Burundi,BDI,2019,YR2019,..,..,..,..,..,58,37.9,44.2,38.5,..,2.8,2.6,..,3,..,1,0.8,1.2,54,50.7,57.5,..,27,25.1,29,4.8,4,5.6,..
Cabo Verde,CPV,2017,YR2017,..,..,..,..,100000,45.8,24.5,35.6,25,..,..,..,..,..,..,..,..,..,..,..,..,16.7,..,..,..,..,..,..,..
Cabo Verde,CPV,2018,YR2018,..,..,..,..,100000,44.9,24.2,34.7,24.6,..,..,..,..,..,..,..,..,..,..,..,..,16.2,..,..,..,..,..,..,..
Cabo Verde,CPV,2019,YR2019,..,..,..,..,100000,44.1,23.9,33.9,24.3,..,..,..,..,..,..,..,..,..,..,..,..,15.4,..,..,..,..,..,..,..
Cambodia,KHM,2017,YR2017,..,..,..,..,1200000,50.3,46.5,51.7,46.8,..,..,..,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,73
Cambodia,KHM,2018,YR2018,..,..,..,..,1100000,49.6,46.7,51.6,47,..,..,..,..,..,..,..,..,..,..,..,..,6.8,..,..,..,..,..,..,..
Cambodia,KHM,2019,YR2019,..,..,..,..,1000000,49,46.8,51.5,47.1,..,..,..,..,..,..,..,..,..,..,..,..,6.2,..,..,..,..,..,..,..
Cameroon,CMR,2017,YR2017,..,..,..,..,1400000,60.8,40.1,45.5,40.6,..,..,..,..,..,..,..,..,..,..,..,..,5.6,..,..,..,..,..,..,9
Cameroon,CMR,2018,YR2018,..,..,10.6,..,1400000,60,40.1,44.9,40.6,..,11,9.7,..,12.2,..,1.6,1.6,1.6,28.9,26.6,31.2,5.6,11,9.9,12.2,4.3,3.6,5,47
Cameroon,CMR,2019,YR2019,..,..,..,..,1400000,59.2,40.2,44.4,40.6,..,..,..,..,..,..,..,..,..,..,..,..,5.3,..,..,..,..,..,..,..
Canada,CAN,2017,YR2017,..,..,..,..,..,12.2,9.5,15.5,9.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Canada,CAN,2018,YR2018,..,..,..,..,..,12.7,9.8,15.7,10,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Canada,CAN,2019,YR2019,..,..,..,..,..,13.2,10.2,16,10.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Caribbean small states,CSS,2017,YR2017,..,..,..,..,1000000,24.12419453,19.78779997,23.07639213,19.89964952,..,..,..,..,..,..,..,..,..,..,..,..,7.590156295,..,..,..,..,..,..,..
Caribbean small states,CSS,2018,YR2018,..,..,..,..,900000,23.85252096,19.89764819,23.09208962,19.99101979,..,..,..,..,..,..,..,..,..,..,..,..,6.992514739,..,..,..,..,..,..,..
Caribbean small states,CSS,2019,YR2019,..,..,..,..,900000,23.70117098,20.08055454,23.16607981,20.20679346,..,..,..,..,..,..,..,..,..,..,..,..,6.955462752,..,..,..,..,..,..,..
Cayman Islands,CYM,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,2017,YR2017,..,..,..,..,2100000,75.2,46.7,52.1,47.2,..,..,..,..,..,..,..,..,..,..,..,..,46.1,..,..,..,..,..,..,0
Central African Republic,CAF,2018,YR2018,..,..,..,..,2200000,74.4,46.4,51.8,47,..,1,0.7,..,1.3,..,1.6,1.2,1.9,37.5,33.5,41.4,46.7,19.7,18.1,21.3,6.5,5.8,7.2,35
Central African Republic,CAF,2019,YR2019,..,..,..,..,2300000,73.6,46.3,51.5,46.8,..,1.5,1.5,..,1.5,..,0.9,0.6,1.2,40.2,37.4,43,48.2,20.5,19.3,21.6,5.2,4.6,5.8,..
Central Europe and the Baltics,CEB,2017,YR2017,..,..,..,..,400000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.647206742,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,2018,YR2018,..,..,..,..,400000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.605544258,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,2019,YR2019,..,..,..,..,400000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.613957693,..,..,..,..,..,..,..
Chad,TCD,2017,YR2017,..,..,..,..,4400000,69.5,46.4,47,46.4,..,2,2,..,2.1,..,3.6,2.9,4.3,32.1,28.9,35.3,29.1,24.3,21.3,27,13.5,12,14.9,67
